N,eig_q,eig_c,eig_true,state_overlap,time_q,time_clas,state_est,state_true
6,-1.631,-2.0,-2.0,(-0+0j),47.034,0.812,"[0j, (0.041+0j), (0.075+0j), 0j, (-0.421+0j), 0j, 0j, 0j, (0.612+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j, (-0.577+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), (0.328+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j]","[0j, 0j, 0j, (0.083+0j), (-0+0j), (-0.296+0j), (0.083+0j), 0j, (-0+0j), (0.379+0j), (-0.296+0j), 0j, (0.083+0j), (-0+0j), (-0+0j), 0j, 0j, (-0.296+0j), (0.379+0j), (-0+0j), (-0.296+0j), 0j, (-0+0j), 0j, (0.083+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0+0j), (0.083+0j), (-0.296+0j), (-0+0j), (0.379+0j), (-0+0j), 0j, 0j, (-0.296+0j), 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (0.083+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j]"
6,-1.931,-3.123,-3.123,(-0.686+0j),256.291,0.875,"[0j, 0j, 0j, (-0.068+0j), 0j, (0.357+0j), (-0.206+0j), 0j, 0j, (-0.678+0j), (0.391+0j), 0j, (-0.084+0j), 0j, 0j, (-0+0j), 0j, (0.021+0j), (-0.012+0j), 0j, (0.003+0j), 0j, 0j, 0j, (-0.108+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0.083+0j), (0.048+0j), 0j, (-0.01+0j), 0j, 0j, (-0+0j), (0.423+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, (-0.075+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j]","[0j, 0j, 0j, (0.083+0j), (-0+0j), (-0.296+0j), (0.083+0j), 0j, (-0+0j), (0.379+0j), (-0.296+0j), 0j, (0.083+0j), (-0+0j), (-0+0j), 0j, 0j, (-0.296+0j), (0.379+0j), (-0+0j), (-0.296+0j), 0j, (-0+0j), 0j, (0.083+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0+0j), (0.083+0j), (-0.296+0j), (-0+0j), (0.379+0j), (-0+0j), 0j, 0j, (-0.296+0j), 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (0.083+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j]"
6,-0.94,-1.712,-1.712,(-0+0j),432.18,0.737,"[0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0.002+0j), (-0+0j), 0j, 0j, (-0.001+0j), 0j, (0.004+0j), (-0.014+0j), 0j, (-0+0j), 0j, 0j, (0.004+0j), 0j, (-0.015+0j), (0.06+0j), 0j, 0j, (0.06+0j), (-0.236+0j), 0j, (0.05+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0.013+0j), 0j, (0.058+0j), (-0.226+0j), 0j, 0j, (-0.227+0j), (0.89+0j), 0j, (-0.19+0j), 0j, 0j, 0j, 0j, 0j, (-0.001+0j), 0j, 0j, 0j, 0j, (-0+0j), (-0.012+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j]","[0j, 0j, 0j, (0.083+0j), (-0+0j), (-0.296+0j), (0.083+0j), 0j, (-0+0j), (0.379+0j), (-0.296+0j), 0j, (0.083+0j), (-0+0j), (-0+0j), 0j, 0j, (-0.296+0j), (0.379+0j), (-0+0j), (-0.296+0j), 0j, (-0+0j), 0j, (0.083+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0+0j), (0.083+0j), (-0.296+0j), (-0+0j), (0.379+0j), (-0+0j), 0j, 0j, (-0.296+0j), 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (0.083+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j]"
6,5.436,-3.123,4.877,(-0+0j),526.637,0.767,"[(-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, (-0+0j), 0j, 0j, (-0.063+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), 0j, 0j, (0.05+0j), 0j, 0j, 0j, (-0.181+0j), 0j, (0.319+0j), (-0.195+0j), 0j, 0j, 0j, (-0+0j), 0j, (-0+0j), 0j, 0j, (-0.093+0j), 0j, 0j, 0j, (0.338+0j), 0j, (-0.596+0j), (0.363+0j), 0j, 0j, 0j, 0j, (-0.197+0j), 0j, (0.347+0j), (-0.211+0j), 0j, 0j, (-0.071+0j), (0.043+0j), 0j, (0.019+0j), 0j, 0j, (-0+0j)]","[0j, 0j, 0j, (0.083+0j), (-0+0j), (-0.296+0j), (0.083+0j), 0j, (-0+0j), (0.379+0j), (-0.296+0j), 0j, (0.083+0j), (-0+0j), (-0+0j), 0j, 0j, (-0.296+0j), (0.379+0j), (-0+0j), (-0.296+0j), 0j, (-0+0j), 0j, (0.083+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0+0j), (0.083+0j), (-0.296+0j), (-0+0j), (0.379+0j), (-0+0j), 0j, 0j, (-0.296+0j), 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (0.083+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j]"
6,14.0,-3.123,14.0,(-0+0j),599.761,0.852,"[0j, 0j, (-0+0j), 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0.408+0j), 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (0.408+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0.408+0j), 0j, 0j, 0j, (0.408+0j), 0j, (-0.408+0j), (0.408+0j), 0j]","[0j, 0j, 0j, (0.083+0j), (-0+0j), (-0.296+0j), (0.083+0j), 0j, (-0+0j), (0.379+0j), (-0.296+0j), 0j, (0.083+0j), (-0+0j), (-0+0j), 0j, 0j, (-0.296+0j), (0.379+0j), (-0+0j), (-0.296+0j), 0j, (-0+0j), 0j, (0.083+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0+0j), (0.083+0j), (-0.296+0j), (-0+0j), (0.379+0j), (-0+0j), 0j, 0j, (-0.296+0j), 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (0.083+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j]"
7,-1.802,-1.802,-1.802,(-0+0j),65.681,1.701,"[0j, (-0.154+0j), (-0.084+0j), 0j, (0.304+0j), 0j, 0j, (-0+0j), (-0.465+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (0.533+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), (-0.496+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (0.361+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, (-0+0j)]","[0j, (-0+0j), (-0+0j), 0j, (-0+0j), (0.131+0j), (-0.06+0j), 0j, 0j, (-0.34+0j), (0.294+0j), 0j, (-0.075+0j), (-0+0j), 0j, 0j, (-0+0j), (0.423+0j), (-0.423+0j), (-0+0j), (0.236+0j), 0j, (-0+0j), (-0+0j), (-0.033+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, (-0.294+0j), (0.34+0j), 0j, (-0.188+0j), (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (0.033+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (0.06+0j), (-0.131+0j), 0j, 0j, 0j, 0j, 0j, (0.188+0j), 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), (-0.236+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), (-0+0j), 0j, (0.075+0j), (-0+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, 0j]"
7,-2.917,-3.054,-3.054,(0.709+0j),325.577,1.646,"[(-0+0j), 0j, 0j, (0.012+0j), 0j, (-0.01+0j), (0.02+0j), 0j, 0j, (-0.05+0j), (0.102+0j), 0j, (-0.093+0j), 0j, 0j, (-0+0j), 0j, (0.178+0j), (-0.365+0j), 0j, (0.334+0j), 0j, 0j, (-0+0j), (-0.124+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0.236+0j), (0.486+0j), 0j, (-0.444+0j), 0j, 0j, (-0+0j), (0.165+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, (-0.015+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, (0.135+0j), (-0.277+0j), 0j, (0.253+0j), 0j, 0j, (-0+0j), (-0.094+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (0.009+0j), 0j, 0j, 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, (0.033+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j]","[0j, (-0+0j), (-0+0j), 0j, (-0+0j), (0.131+0j), (-0.06+0j), 0j, 0j, (-0.34+0j), (0.294+0j), 0j, (-0.075+0j), (-0+0j), 0j, 0j, (-0+0j), (0.423+0j), (-0.423+0j), (-0+0j), (0.236+0j), 0j, (-0+0j), (-0+0j), (-0.033+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, (-0.294+0j), (0.34+0j), 0j, (-0.188+0j), (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (0.033+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (0.06+0j), (-0.131+0j), 0j, 0j, 0j, 0j, 0j, (0.188+0j), 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), (-0.236+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), (-0+0j), 0j, (0.075+0j), (-0+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, 0j]"
7,-1.496,-2.769,-2.769,(-0+0j),671.375,1.726,"[0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (0.002+0j), (-0+0j), 0j, 0j, (-0.029+0j), 0j, (0.144+0j), (-0.029+0j), 0j, (-0+0j), 0j, 0j, (0.14+0j), 0j, (-0.705+0j), (0.142+0j), 0j, 0j, 0j, (-0+0j), 0j, (0.001+0j), 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0.001+0j), 0j, (0.006+0j), (-0.001+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0.007+0j), (0.001+0j), 0j, (-0.129+0j), 0j, 0j, 0j, (0.024+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (0.006+0j), 0j, (-0.031+0j), (0.006+0j), 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, (0.033+0j), (-0.007+0j), 0j, (0.637+0j), 0j, 0j, (-0+0j), (-0.121+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0.001+0j), 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (0.008+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0+0j)]","[0j, (-0+0j), (-0+0j), 0j, (-0+0j), (0.131+0j), (-0.06+0j), 0j, 0j, (-0.34+0j), (0.294+0j), 0j, (-0.075+0j), (-0+0j), 0j, 0j, (-0+0j), (0.423+0j), (-0.423+0j), (-0+0j), (0.236+0j), 0j, (-0+0j), (-0+0j), (-0.033+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, (-0.294+0j), (0.34+0j), 0j, (-0.188+0j), (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (0.033+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (0.06+0j), (-0.131+0j), 0j, 0j, 0j, 0j, 0j, (0.188+0j), 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), (-0.236+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), (-0+0j), 0j, (0.075+0j), (-0+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, 0j]"
7,1.652,-3.043,1.231,(-0+0j),884.457,2.049,"[0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, (-0+0j), 0j, 0j, (-0.003+0j), 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0.002+0j), 0j, (0.008+0j), (-0.005+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (0.001+0j), 0j, 0j, 0j, (0.023+0j), 0j, (-0.111+0j), (0.071+0j), 0j, (-0+0j), 0j, 0j, (-0.082+0j), 0j, (0.391+0j), (-0.251+0j), 0j, 0j, (-0.116+0j), (0.074+0j), 0j, (-0.011+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0.002+0j), 0j, 0j, 0j, (-0.039+0j), 0j, (0.183+0j), (-0.118+0j), 0j, (-0+0j), 0j, 0j, (0.136+0j), 0j, (-0.648+0j), (0.415+0j), 0j, 0j, (0.191+0j), (-0.123+0j), 0j, (0.018+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0.029+0j), 0j, (0.137+0j), (-0.088+0j), 0j, 0j, (-0.04+0j), (0.026+0j), 0j, (-0.004+0j), 0j, 0j, (-0+0j), 0j, (-0.007+0j), (0.004+0j), 0j, (-0.001+0j), 0j, 0j, 0j, (0.006+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j]","[0j, (-0+0j), (-0+0j), 0j, (-0+0j), (0.131+0j), (-0.06+0j), 0j, 0j, (-0.34+0j), (0.294+0j), 0j, (-0.075+0j), (-0+0j), 0j, 0j, (-0+0j), (0.423+0j), (-0.423+0j), (-0+0j), (0.236+0j), 0j, (-0+0j), (-0+0j), (-0.033+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, (-0.294+0j), (0.34+0j), 0j, (-0.188+0j), (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (0.033+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (0.06+0j), (-0.131+0j), 0j, 0j, 0j, 0j, 0j, (0.188+0j), 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), (-0.236+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), (-0+0j), 0j, (0.075+0j), (-0+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, 0j]"
7,9.076,-3.054,8.946,0j,1129.878,1.515,"[0j, 0j, (-0+0j), 0j, (-0+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0.039+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0.001+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), 0j, 0j, (0.06+0j), (-0+0j), 0j, 0j, (-0.192+0j), 0j, (0.242+0j), (-0.134+0j), 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (0.002+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), 0j, 0j, (-0.121+0j), 0j, 0j, 0j, (0.39+0j), 0j, (-0.49+0j), (0.272+0j), 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (0.105+0j), (-0+0j), 0j, 0j, (-0.336+0j), 0j, (0.422+0j), (-0.234+0j), 0j, (-0+0j), 0j, 0j, (0.118+0j), 0j, (-0.149+0j), (0.082+0j), 0j, 0j, (0.024+0j), (-0.013+0j), 0j, (-0.016+0j), 0j, 0j, 0j]","[0j, (-0+0j), (-0+0j), 0j, (-0+0j), (0.131+0j), (-0.06+0j), 0j, 0j, (-0.34+0j), (0.294+0j), 0j, (-0.075+0j), (-0+0j), 0j, 0j, (-0+0j), (0.423+0j), (-0.423+0j), (-0+0j), (0.236+0j), 0j, (-0+0j), (-0+0j), (-0.033+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, (-0.294+0j), (0.34+0j), 0j, (-0.188+0j), (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (0.033+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (0.06+0j), (-0.131+0j), 0j, 0j, 0j, 0j, 0j, (0.188+0j), 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), (-0.236+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), (-0+0j), 0j, (0.075+0j), (-0+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, 0j]"
