N,eig_q,eig_c,eig_true,state_overlap,time_q,time_clas,state_est,state_true
2,-1.0,-1.0,-1.0,(1+0j),14.079,0.531,"[0j, (-0.707+0j), (0.707+0j), 0j]","[0j, (-0.707+0j), (0.707+0j), 0j]"
3,-1.0,-1.0,-1.0,(0.583+0j),31.226,0.562,"[0j, (-0.493+0j), (-0.317+0j), 0j, (0.81+0j), 0j, 0j, 0j]","[(-0+0j), (-0.816+0j), (0.426+0j), 0j, (0.39+0j), 0j, 0j, (-0+0j)]"
3,7.0,-1.0,7.0,0j,54.539,0.562,"[(-0+0j), 0j, 0j, (-0.28+0j), 0j, (-0.525+0j), (0.804+0j), 0j]","[(-0+0j), (-0.816+0j), (0.426+0j), 0j, (0.39+0j), 0j, 0j, (-0+0j)]"
4,-2.0,-2.0,-2.0,(1+0j),38.365,0.656,"[0j, (-0.5+0j), (0.5+0j), 0j, (-0.5+0j), 0j, 0j, (-0+0j), (0.5+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j]","[0j, (-0.5+0j), (0.5+0j), 0j, (-0.5+0j), 0j, 0j, 0j, (0.5+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j]"
4,-0.486,-0.899,-0.899,0j,115.165,0.699,"[(-0+0j), 0j, 0j, (-0.116+0j), 0j, (0.016+0j), (-0.123+0j), 0j, 0j, (-0.123+0j), (0.971+0j), 0j, (-0.116+0j), 0j, 0j, 0j]","[0j, (-0.5+0j), (0.5+0j), 0j, (-0.5+0j), 0j, 0j, 0j, (0.5+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j]"
4,14.0,-2.0,14.0,(-0+0j),184.767,0.761,"[0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0.5+0j), (-0+0j), 0j, 0j, (0.5+0j), 0j, (-0.5+0j), (0.5+0j), 0j]","[0j, (-0.5+0j), (0.5+0j), 0j, (-0.5+0j), 0j, 0j, 0j, (0.5+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j]"
5,-1.618,-1.618,-1.618,(-0+0j),58.332,0.917,"[0j, (-0.25+0j), (-0.139+0j), 0j, (0.475+0j), 0j, 0j, 0j, (-0.63+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (0.544+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j]","[0j, 0j, (-0+0j), (-0.028+0j), (-0+0j), (-0.215+0j), (0.085+0j), 0j, 0j, (0.518+0j), (-0.624+0j), 0j, (0.08+0j), (-0+0j), 0j, 0j, 0j, (-0.102+0j), (0.491+0j), (-0+0j), (-0.171+0j), 0j, 0j, 0j, (-0.035+0j), (-0+0j), 0j, (-0+0j), 0j, (-0+0j), 0j, 0j]"
5,-1.479,-1.883,-1.883,(-0.895+0j),225.949,0.951,"[0j, 0j, 0j, (-0.014+0j), 0j, (0.013+0j), (-0.055+0j), 0j, 0j, (-0.163+0j), (0.692+0j), 0j, (-0.147+0j), 0j, 0j, 0j, 0j, (0.153+0j), (-0.653+0j), 0j, (0.139+0j), 0j, 0j, (-0+0j), (0.002+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j]","[0j, 0j, (-0+0j), (-0.028+0j), (-0+0j), (-0.215+0j), (0.085+0j), 0j, 0j, (0.518+0j), (-0.624+0j), 0j, (0.08+0j), (-0+0j), 0j, 0j, 0j, (-0.102+0j), (0.491+0j), (-0+0j), (-0.171+0j), 0j, 0j, 0j, (-0.035+0j), (-0+0j), 0j, (-0+0j), 0j, (-0+0j), 0j, 0j]"
5,6.455,-1.882,6.117,(-0+0j),399.907,1.102,"[0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0.067+0j), 0j, 0j, 0j, (-0.017+0j), 0j, (0.161+0j), (-0.153+0j), 0j, 0j, 0j, 0j, (0.074+0j), 0j, (-0.688+0j), (0.654+0j), 0j, 0j, (0.143+0j), (-0.136+0j), 0j, (-0.003+0j), 0j, 0j, 0j]","[0j, 0j, (-0+0j), (-0.028+0j), (-0+0j), (-0.215+0j), (0.085+0j), 0j, 0j, (0.518+0j), (-0.624+0j), 0j, (0.08+0j), (-0+0j), 0j, 0j, 0j, (-0.102+0j), (0.491+0j), (-0+0j), (-0.171+0j), 0j, 0j, 0j, (-0.035+0j), (-0+0j), 0j, (-0+0j), 0j, (-0+0j), 0j, 0j]"
5,22.382,-1.883,22.382,(-0+0j),577.053,1.109,"[(-0+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, (-0.408+0j), 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (0.046+0j), 0j, 0j, 0j, (0.334+0j), 0j, (-0.586+0j), (0.614+0j), 0j]","[0j, 0j, (-0+0j), (-0.028+0j), (-0+0j), (-0.215+0j), (0.085+0j), 0j, 0j, (0.518+0j), (-0.624+0j), 0j, (0.08+0j), (-0+0j), 0j, 0j, 0j, (-0.102+0j), (0.491+0j), (-0+0j), (-0.171+0j), 0j, 0j, 0j, (-0.035+0j), (-0+0j), 0j, (-0+0j), 0j, (-0+0j), 0j, 0j]"
6,-1.631,-2.0,-2.0,(-0+0j),127.193,1.578,"[0j, (0.041+0j), (0.075+0j), 0j, (-0.421+0j), 0j, 0j, 0j, (0.612+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j, (-0.577+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), (0.328+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j]","[0j, (-0+0j), (-0+0j), (-0.054+0j), (-0+0j), (0.295+0j), (-0.054+0j), 0j, 0j, (-0.392+0j), (0.295+0j), (-0+0j), (-0.054+0j), 0j, (-0+0j), 0j, 0j, (0.295+0j), (-0.392+0j), 0j, (0.295+0j), (-0+0j), 0j, 0j, (-0.054+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), 0j, 0j, 0j, (-0.054+0j), (0.295+0j), (-0+0j), (-0.392+0j), 0j, 0j, 0j, (0.295+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, 0j, (-0.054+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), (-0+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, 0j, 0j]"
6,-2.249,-3.016,-3.016,(0.761+0j),456.677,1.934,"[(-0+0j), 0j, 0j, (0.017+0j), 0j, (-0.007+0j), (0.032+0j), 0j, 0j, (-0.014+0j), (0.065+0j), 0j, (-0.062+0j), 0j, 0j, (-0+0j), 0j, (0.112+0j), (-0.524+0j), 0j, (0.5+0j), 0j, 0j, 0j, (-0.091+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0.101+0j), (0.473+0j), 0j, (-0.452+0j), 0j, 0j, 0j, (0.082+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0.019+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j]","[0j, (-0+0j), (-0+0j), (-0.054+0j), (-0+0j), (0.295+0j), (-0.054+0j), 0j, 0j, (-0.392+0j), (0.295+0j), (-0+0j), (-0.054+0j), 0j, (-0+0j), 0j, 0j, (0.295+0j), (-0.392+0j), 0j, (0.295+0j), (-0+0j), 0j, 0j, (-0.054+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), 0j, 0j, 0j, (-0.054+0j), (0.295+0j), (-0+0j), (-0.392+0j), 0j, 0j, 0j, (0.295+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, 0j, (-0.054+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), (-0+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, 0j, 0j]"
6,-0.608,-0.897,-0.887,(-0+0j),857.308,1.929,"[0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0.002+0j), 0j, 0j, 0j, 0j, 0j, 0j, (-0.002+0j), (0.015+0j), 0j, 0j, (0.015+0j), (-0.12+0j), 0j, (0.015+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0.003+0j), 0j, (0.015+0j), (-0.119+0j), 0j, 0j, (-0.12+0j), (0.963+0j), 0j, (-0.117+0j), 0j, 0j, 0j, 0j, (0.015+0j), (-0.117+0j), 0j, (0.014+0j), 0j, 0j, (-0+0j), (-0.002+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j]","[0j, (-0+0j), (-0+0j), (-0.054+0j), (-0+0j), (0.295+0j), (-0.054+0j), 0j, 0j, (-0.392+0j), (0.295+0j), (-0+0j), (-0.054+0j), 0j, (-0+0j), 0j, 0j, (0.295+0j), (-0.392+0j), 0j, (0.295+0j), (-0+0j), 0j, 0j, (-0.054+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), 0j, 0j, 0j, (-0.054+0j), (0.295+0j), (-0+0j), (-0.392+0j), 0j, 0j, 0j, (0.295+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, 0j, (-0.054+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), (-0+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, 0j, 0j]"
6,13.658,-3.016,12.984,(-0+0j),1152.185,1.996,"[0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (-0.046+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), 0j, 0j, (0.006+0j), 0j, 0j, 0j, (-0.035+0j), 0j, (0.141+0j), (-0.117+0j), 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0.026+0j), (-0+0j), 0j, 0j, (0.14+0j), 0j, (-0.568+0j), (0.474+0j), 0j, 0j, 0j, 0j, (-0.115+0j), 0j, (0.468+0j), (-0.39+0j), 0j, 0j, (-0.081+0j), (0.068+0j), 0j, (-0.02+0j), 0j, 0j, 0j]","[0j, (-0+0j), (-0+0j), (-0.054+0j), (-0+0j), (0.295+0j), (-0.054+0j), 0j, 0j, (-0.392+0j), (0.295+0j), (-0+0j), (-0.054+0j), 0j, (-0+0j), 0j, 0j, (0.295+0j), (-0.392+0j), 0j, (0.295+0j), (-0+0j), 0j, 0j, (-0.054+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), 0j, 0j, 0j, (-0.054+0j), (0.295+0j), (-0+0j), (-0.392+0j), 0j, 0j, 0j, (0.295+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, 0j, (-0.054+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), (-0+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, 0j, 0j]"
6,30.0,-3.016,30.0,0j,1327.663,1.93,"[0j, 0j, (-0+0j), 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0.408+0j), 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (0.408+0j), 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (-0.408+0j), 0j, 0j, 0j, (0.408+0j), 0j, (-0.408+0j), (0.408+0j), 0j]","[0j, (-0+0j), (-0+0j), (-0.054+0j), (-0+0j), (0.295+0j), (-0.054+0j), 0j, 0j, (-0.392+0j), (0.295+0j), (-0+0j), (-0.054+0j), 0j, (-0+0j), 0j, 0j, (0.295+0j), (-0.392+0j), 0j, (0.295+0j), (-0+0j), 0j, 0j, (-0.054+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), 0j, 0j, 0j, (-0.054+0j), (0.295+0j), (-0+0j), (-0.392+0j), 0j, 0j, 0j, (0.295+0j), 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, 0j, (-0.054+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), (-0+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, 0j, 0j]"
7,-1.802,-1.802,-1.802,0j,154.302,3.649,"[0j, (-0.154+0j), (-0.084+0j), 0j, (0.304+0j), 0j, 0j, (-0+0j), (-0.465+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (0.533+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), (-0.496+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (0.361+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, (-0+0j)]","[0j, 0j, (-0+0j), 0j, 0j, (-0.128+0j), (0.038+0j), 0j, 0j, (0.346+0j), (-0.288+0j), (-0+0j), (0.047+0j), 0j, (-0+0j), (-0+0j), (-0+0j), (-0.432+0j), (0.432+0j), 0j, (-0.231+0j), (-0+0j), 0j, 0j, (0.021+0j), 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), (0.288+0j), (-0.346+0j), (-0+0j), (0.192+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0.021+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, (-0+0j), 0j, 0j, (-0.038+0j), (0.128+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, (-0.192+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (0.231+0j), 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j, (-0.047+0j), 0j, 0j, (-0+0j), (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, (-0+0j), 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j]"
7,-2.751,-3.002,-3.002,(-0.647+0j),650.634,3.723,"[(-0+0j), 0j, 0j, (-0.013+0j), 0j, (0.008+0j), (-0.022+0j), 0j, 0j, (-0.013+0j), (0.037+0j), 0j, (-0.036+0j), 0j, 0j, 0j, 0j, (0.122+0j), (-0.344+0j), 0j, (0.332+0j), 0j, 0j, (-0+0j), (-0.1+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, 0j, (-0.181+0j), (0.511+0j), 0j, (-0.493+0j), 0j, 0j, 0j, (0.148+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0.011+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (0.104+0j), (-0.293+0j), 0j, (0.283+0j), 0j, 0j, 0j, (-0.085+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (0.007+0j), 0j, 0j, 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), (0.016+0j), 0j, 0j, 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j]","[0j, 0j, (-0+0j), 0j, 0j, (-0.128+0j), (0.038+0j), 0j, 0j, (0.346+0j), (-0.288+0j), (-0+0j), (0.047+0j), 0j, (-0+0j), (-0+0j), (-0+0j), (-0.432+0j), (0.432+0j), 0j, (-0.231+0j), (-0+0j), 0j, 0j, (0.021+0j), 0j, (-0+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), (0.288+0j), (-0.346+0j), (-0+0j), (0.192+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (-0.021+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0+0j), (-0+0j), 0j, (-0+0j), 0j, (-0+0j), 0j, 0j, (-0.038+0j), (0.128+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, (-0.192+0j), 0j, 0j, (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (0.231+0j), 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j, (-0.047+0j), 0j, 0j, (-0+0j), (-0+0j), (-0+0j), 0j, (-0+0j), (-0+0j), (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, (-0+0j), 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j]"
