N,eig_q,eig_c,eig_true,state_overlap,time_q,time_clas,state_est,state_true
2,-1.0,-1.0,-1.0,(1+0j),7.657,0.203,"[0j, (-0.707+0j), (0.707+0j), 0j]","[0j, (-0.707+0j), (0.707+0j), 0j]"
3,-1.0,-1.0,-1.0,(0.583+0j),13.061,0.235,"[0j, (-0.493+0j), (-0.317+0j), 0j, (0.81+0j), 0j, 0j, 0j]","[(-0+0j), (-0.816+0j), (0.426+0j), 0j, (0.39+0j), 0j, 0j, (-0+0j)]"
3,-0.0,-0.0,-0.0,0j,27.58,0.232,"[(-0+0j), 0j, 0j, (-0.28+0j), 0j, (-0.525+0j), (0.804+0j), 0j]","[(-0+0j), (-0.816+0j), (0.426+0j), 0j, (0.39+0j), 0j, 0j, (-0+0j)]"
4,-2.0,-2.0,-2.0,0j,22.894,0.328,"[0j, (-0.5+0j), (0.5+0j), 0j, (-0.5+0j), 0j, 0j, (-0+0j), (0.5+0j), 0j, 0j, (-0+0j), 0j, 0j, (-0+0j), 0j]","[(-0+0j), (-0+0j), (-0+0j), (-0.321+0j), 0j, (0.542+0j), (-0.321+0j), 0j, 0j, (-0.321+0j), (0.542+0j), 0j, (-0.321+0j), 0j, 0j, (-0+0j)]"
4,-2.137,-2.372,-2.372,(-0.974+0j),65.566,0.274,"[(-0+0j), 0j, 0j, (0.291+0j), 0j, (-0.456+0j), (0.456+0j), 0j, 0j, (0.456+0j), (-0.456+0j), 0j, (0.291+0j), 0j, 0j, (-0+0j)]","[(-0+0j), (-0+0j), (-0+0j), (-0.321+0j), 0j, (0.542+0j), (-0.321+0j), 0j, 0j, (-0.321+0j), (0.542+0j), 0j, (-0.321+0j), 0j, 0j, (-0+0j)]"
4,0.0,-0.999,-0.0,0j,82.612,0.256,"[0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, (-0.5+0j), (-0+0j), 0j, 0j, (0.5+0j), 0j, (-0.5+0j), (0.5+0j), 0j]","[(-0+0j), (-0+0j), (-0+0j), (-0.321+0j), 0j, (0.542+0j), (-0.321+0j), 0j, 0j, (-0.321+0j), (0.542+0j), 0j, (-0.321+0j), 0j, 0j, (-0+0j)]"
5,-1.618,-1.618,-1.618,(-0+0j),27.044,0.365,"[0j, (-0.25+0j), (-0.139+0j), 0j, (0.475+0j), 0j, 0j, 0j, (-0.63+0j), 0j, 0j, (-0+0j), 0j, (-0+0j), (-0+0j), 0j, (0.544+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, 0j]","[0j, 0j, 0j, (-0.272+0j), (-0+0j), (0.462+0j), (-0.084+0j), 0j, 0j, (-0.176+0j), (-0.176+0j), (-0+0j), (0.22+0j), 0j, 0j, 0j, (-0+0j), (-0.084+0j), (0.462+0j), 0j, (-0.571+0j), 0j, (-0+0j), 0j, (0.22+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j]"
5,-2.372,-2.39,-2.39,(-0.29+0j),99.492,0.348,"[0j, 0j, 0j, (0.073+0j), 0j, (0.175+0j), (-0.236+0j), 0j, 0j, (-0.441+0j), (0.596+0j), 0j, (-0.226+0j), 0j, 0j, 0j, 0j, (0.313+0j), (-0.422+0j), 0j, (0.16+0j), 0j, 0j, (-0+0j), (0.084+0j), 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j]","[0j, 0j, 0j, (-0.272+0j), (-0+0j), (0.462+0j), (-0.084+0j), 0j, 0j, (-0.176+0j), (-0.176+0j), (-0+0j), (0.22+0j), 0j, 0j, 0j, (-0+0j), (-0.084+0j), (0.462+0j), 0j, (-0.571+0j), 0j, (-0+0j), 0j, (0.22+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j]"
5,-1.372,-1.39,-1.39,(-0+0j),171.923,0.354,"[0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (-0.086+0j), 0j, 0j, 0j, (-0.157+0j), 0j, (0.418+0j), (-0.312+0j), 0j, (-0+0j), 0j, 0j, (0.223+0j), 0j, (-0.595+0j), (0.445+0j), 0j, 0j, (0.238+0j), (-0.178+0j), 0j, (-0.071+0j), 0j, 0j, (-0+0j)]","[0j, 0j, 0j, (-0.272+0j), (-0+0j), (0.462+0j), (-0.084+0j), 0j, 0j, (-0.176+0j), (-0.176+0j), (-0+0j), (0.22+0j), 0j, 0j, 0j, (-0+0j), (-0.084+0j), (0.462+0j), 0j, (-0.571+0j), 0j, (-0+0j), 0j, (0.22+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j]"
5,1.382,-2.39,1.382,(-0+0j),211.673,0.418,"[0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, 0j, (-0+0j), 0j, 0j, (-0.408+0j), 0j, (-0+0j), 0j, 0j, 0j, 0j, 0j, (0.046+0j), (-0+0j), 0j, 0j, (0.334+0j), 0j, (-0.586+0j), (0.614+0j), 0j]","[0j, 0j, 0j, (-0.272+0j), (-0+0j), (0.462+0j), (-0.084+0j), 0j, 0j, (-0.176+0j), (-0.176+0j), (-0+0j), (0.22+0j), 0j, 0j, 0j, (-0+0j), (-0.084+0j), (0.462+0j), 0j, (-0.571+0j), 0j, (-0+0j), 0j, (0.22+0j), (-0+0j), 0j, 0j, (-0+0j), 0j, 0j, 0j]"
