N,eig_q,eig_c,eig_true,state_overlap,time_q,time_clas,state_est,state_true
3,-1.0,-1.0,-1.0,(0.304+0.444j),258.154,0.297,"[-0j, (0.22-0.241j), (-0.01-0.141j), (0.081+0.564j), (-0.21+0.382j), (-0.299-0.107j), (0.219-0.458j), (-0-0j)]","(0j, (0.698682773595918+0j), (0.01655721447052927+0j), 0j, (-0.7152399880664473+0j), 0j, 0j, 0j)"
5,-2.537,-2.618,-2.618,(-0.215+0.608j),712.619,0.765,"[(0.03-0.017j), (-0.002+0.009j), (0.012-0.03j), (-0.07-0.022j), (-0.02-0.003j), (0.047-0.138j), (0.075+0.179j), (0.12-0.002j), (-0.007+0.033j), (0.161+0.318j), (-0.278-0.39j), (-0.137+0.002j), (0.187+0.2j), (0.028-0.093j), (0.066+0.105j), (-0.03-0.032j), (0.002+0.029j), (-0.159-0.219j), (0.279+0.286j), (0.081-0.054j), (-0.227-0.112j), (0.041+0.106j), (-0.155-0.094j), (-0.005+0.007j), (0.032-0.042j), (-0.138-0.084j), (0.194+0.045j), (0.009+0.018j), (-0.074+0.018j), (-0.042-0.051j), (0.063+0.055j), (0.037-0.017j)]","(0j, (-1.108731093085394e-41+0j), (8.743578295752878e-17+0j), (8.306817501282655e-17+0j), (4.1831482857108517e-17+0j), (0.25486482043137654+0j), (-0.2548648204313766+0j), (0.11169149767662906+0j), (-4.1831482857108486e-17+0j), (-0.41237994199460626+0j), (0.4123799419946064+0j), (-0.3003494701906523+0j), (-0.15751512156322933+0j), (0.305255011776333+0j), (-0.11962883069548647+0j), (-9.83250006328237e-17+0j), (-8.743578295752878e-17+0j), (0.2548648204313765+0j), (-0.2548648204313766+0j), (0.18865797251402336+0j), (1.942890293094024e-16+0j), (-0.1935635140997041+0j), (0.007937333018857462+0j), (7.979727989493313e-17+0j), (0.15751512156322914+0j), (0.004905541585680778+0j), (0.18072063949516573+0j), (-9.84455572616838e-17+0j), (-0.1856261810808465+0j), (1.235990476633475e-16+0j), (3.122502256758253e-17+0j), 0j)"
7,-3.722,-4.049,-4.049,(-0.28-0.198j),1317.528,2.468,"[(0.007+0.006j), (0.01-0.009j), (-0.02+0.007j), (0.034+0.002j), (0.023-0.022j), (-0.066+0.043j), (0.054-0.055j), (-0.028+0.009j), (-0.012+0.024j), (0.067-0.065j), (-0.057+0.095j), (0.051-0.033j), (0.015-0.054j), (-0.024+0.053j), (0.004-0.043j), (0.004+0.015j), (-0.005-0.023j), (-0.028+0.061j), (0.045-0.1j), (0.008+0.068j), (0.004+0.077j), (-0.072-0.158j), (0.112+0.128j), (0.01-0.107j), (-0.013-0.031j), (0.089+0.134j), (-0.146-0.113j), (0.024+0.123j), (0.063+0.027j), (-0.044-0.04j), (0.035+0.004j), (-0.007+0.007j), (0.003+0.012j), (0.015-0.03j), (-0.033+0.065j), (-0.028-0.057j), (-0.013-0.056j), (0.102+0.131j), (-0.133-0.1j), (0.004+0.101j), (0.026+0.02j), (-0.138-0.111j), (0.194+0.077j), (-0.068-0.113j), (-0.088-0.004j), (0.091+0.019j), (-0.069+0.021j), (0.018-0.007j), (-0.009-0j), (0.044+0.021j), (-0.068-0.017j), (0.05+0.006j), (0.043-0.019j), (-0.082+0.049j), (0.063-0.067j), (-0.035+0.01j), (-0.012+0.017j), (0.054-0.052j), (-0.039+0.076j), (0.031-0.016j), (0.006-0.03j), (-0.001+0.008j), (-0.009+0.001j), (0.012+0.001j), (-0.004+0.005j), (0.011+0.002j), (-0.012-0.015j), (0.031+0.024j), (0.033+0.009j), (-0.084-0.035j), (0.087+0.017j), (-0.024-0.024j), (-0.034+0.004j), (0.107+0.025j), (-0.13+0j), (0.058+0.019j), (0.061-0.014j), (-0.066+0.014j), (0.044-0.03j), (-0.024+0.005j), (0.007-0.008j), (-0.067+0.02j), (0.086-0.044j), (-0.096+0.062j), (-0.027+0.088j), (0.09-0.17j), (-0.049+0.176j), (0.013-0.03j), (-0.015-0.071j), (-0.053+0.165j), (0.018-0.203j), (-0+0.035j), (0.006+0.087j), (-0.013-0.043j), (0.025+0.017j), (-0.01-0.029j), (0.003+0.002j), (0.03-0.014j), (-0.046+0.026j), (0.056-0.074j), (-0.003-0.072j), (-0.044+0.17j), (0.012-0.172j), (-0.011+0.019j), (0.042+0.063j), (0.005-0.186j), (0.04+0.224j), (-0.006-0.037j), (-0.04-0.101j), (0.047+0.063j), (-0.057-0.028j), (0.033+0.046j), (-0.004-0.002j), (0.013+0.049j), (-0.033-0.066j), (0.018+0.056j), (0.048+0.024j), (-0.097-0.049j), (0.103+0.019j), (-0.03-0.022j), (-0.025+0.001j), (0.088+0.022j), (-0.104+0.009j), (0.037+0.026j), (0.041-0.015j), (-0.017+0.001j), (0.002-0.004j), (0.007+0.018j)]","(0j, (7.794946008515196e-53+0j), (-8.426134807547125e-19+0j), (-1.0543653757231296e-18+0j), (1.1621432942645516e-18+0j), (2.6183580866860286e-17+0j), (3.637089536125201e-17+0j), (6.805228250008306e-05+0j), (1.7472118024557822e-18+0j), (2.642958204687562e-17+0j), (-3.9834805904729204e-17+0j), (-0.0008309759324921608+0j), (-3.9165578862708266e-17+0j), (0.0013444547995391139+0j), (-0.0007083499566475775+0j), (0.06010307664356601+0j), (-1.747211802455782e-18+0j), (-6.019566223428975e-17+0j), (4.182034211196735e-17+0j), (0.0016765077131453044+0j), (4.98745560605539e-19+0j), (-0.0028680504219205866+0j), (0.0015235956223814174+0j), (-0.05648504590621294+0j), (-2.330379035869404e-17+0j), (0.00189989266542289+0j), (-0.0011537765411946553+0j), (-0.04148433241927272+0j), (0.0002471931053422211+0j), (0.11643164311446695+0j), (-0.0785653414325476+0j), (1.097212598556149e-16+0j), (-1.1621432942645514e-18+0j), (4.7260126600405546e-18+0j), (1.952106370205027e-17+0j), (-0.0015916479048814095+0j), (1.0508238261533805e-17+0j), (0.002745424446076106+0j), (-0.001438735814117484+0j), (-0.03326785161168695+0j), (2.1999877036975128e-17+0j), (-0.0020790334882650843+0j), (0.0010008644504306398+0j), (0.2098025713697201+0j), (0.00015291209076393681+0j), (-0.3181045732117322+0j), (0.20167293009726459+0j), (-1.7561759883683199e-16+0j), (3.72725642455448e-17+0j), (0.0005554378658835986+0j), (0.00019067825834447795+0j), (-0.22013519488624633+0j), (-0.0008309759324920648+0j), (0.36340206303259254+0j), (-0.23301976566424593+0j), (2.8543697114874617e-16+0j), (0.0005983386753110027+0j), (-0.1868673432745597+0j), (0.13505038733876054+0j), (-4.537198598055914e-16+0j), (-0.025138210339231516+0j), (2.5519737654077306e-16+0j), (-1.4710986329421218e-16+0j), (-2.0491421059976034e-17+0j), (8.426134807547124e-19+0j), (7.83336069620777e-18+0j), (-2.5458886918707882e-17+0j), (0.0006780638417280553+0j), (-4.6119249912102145e-17+0j), (-0.001153776541194657+0j), (0.0005554378658836875+0j), (0.051816955935799026+0j), (1.9100592960584473e-17+0j), (0.0006926196898892967+0j), (0.000275538066608475+0j), (-0.17653471975803312+0j), (-0.0010362100389977435+0j), (0.25148203045322787+0j), (-0.18686734327455942+0j), (1.4220834984753488e-16+0j), (6.6081893329639585e-18+0j), (0.00015291209076396124+0j), (-0.0014973668903030775+0j), (0.20167293009726467+0j), (0.002422623837373524+0j), (-0.3367233174360251+0j), (0.24335238918077254+0j), (-2.6307499654752066e-16+0j), (-0.0015916479048813756+0j), (0.16840507848557787+0j), (-0.10178253572707355+0j), (3.961615771277817e-16+0j), (-0.033267851611686744+0j), (-2.4825084024701586e-16+0j), (4.514506281490024e-17+0j), (3.045278147972591e-17+0j), (-3.3175315928635554e-17+0j), (-0.00036981908118665583+0j), (0.0013444547995391922+0j), (-0.08316379150278033+0j), (-0.0019847524736866856+0j), (0.13505038733876032+0j), (-0.07043570016009221+0j), (1.8737914519486943e-16+0j), (0.001523595622381307+0j), (-0.056485045906212894+0j), (-0.05994659720825434+0j), (-2.439311753456908e-16+0j), (0.1451878841910521+0j), (1.4813485841533495e-16+0j), (6.792197684918713e-17+0j), (-6.840624884866214e-18+0j), (-0.0005134788670470059+0j), (-0.014805586822705257+0j), (0.11643164311446734+0j), (9.560805142568678e-17+0j), (-0.17653471975803323+0j), (1.0105442307990578e-17+0j), (-1.0238708360384932e-16+0j), (2.930831673915587e-18+0j), (0.0897528975178997+0j), (-7.656955746799992e-17+0j), (2.567296645099389e-16+0j), (2.7550420972081884e-18+0j), (-1.7303062458961904e-16+0j), (-6.3037411598395496e-18+0j), (2.845536707590763e-17+0j), 0j)"
