N,eig_q,eig_c,eig_true,state_overlap,time_q,time_clas,state_est,state_true
2,-0.966,-1.0,-1.0,(-0.079+0.988j),5.037,0.062,"[(0.002-0.002j), (0.142+0.668j), (0.031-0.73j), (0.004-0.001j)]","(0j, (-0.7071067811865475+0j), (0.7071067811865475+0j), 0j)"
3,-0.236,-1.0,-1.0,(-0.012+0.26j),10.299,0.125,"[(-0.152+0.016j), (-0.099-0.262j), (-0.545+0.489j), (0.244-0.095j), (-0.093+0.118j), (-0.456+0.059j), (0.09-0.155j), (0.157+0.054j)]","(0j, (0.698682773595918+0j), (0.01655721447052927+0j), 0j, (-0.7152399880664473+0j), 0j, 0j, 0j)"
4,-0.294,-2.828,-2.828,(0.292+0.146j),16.512,0.291,"[(-0.048+0.524j), (-0.452+0.05j), (0.267+0.096j), (0.278-0.243j), (-0.085-0.154j), (-0.009+0.025j), (0.301-0.097j), (-0.134-0.066j), (-0.164-0.061j), (-0.019+0.088j), (-0.071+0.035j), (-0.018+0.186j), (0.152-0.075j), (-0.079+0.006j), (-0.002+0.067j), (0.115-0.11j)]","(0j, 0j, 0j, (0.3535533905932739+0j), 0j, (-0.4999999999999998+0j), (0.35355339059327384+0j), 0j, 0j, (0.3535533905932738+0j), (-0.49999999999999994+0j), 0j, (0.3535533905932738+0j), 0j, 0j, 0j)"
