N,time,est_eig,exact eig
2,2.645,-6.0,-6.0
3,5.209,-6.0,-6.0
3,12.061,-5.0,-4.999999999999998
4,8.03,-13.0,-13.000000251676017
4,26.577,-17.124,-17.798989873223334
4,39.361,-11.0,-17.790126733911933
5,11.632,-10.326,-12.042932006104063
5,46.76,-16.245,-16.32623792124926
5,80.638,-15.245,-15.326237921249259
5,99.142,-7.326,-16.326211062441946
6,15.897,-10.416,-22.24871130596428
6,73.452,-21.242,-22.248711305964278
6,137.358,-23.509,-25.000000000000004
6,186.346,-19.242,-20.24871165531491
6,217.701,-9.0,-24.99999999999999
7,21.06,-11.614,-20.728857226068946
7,105.834,-20.231,-20.728857482306204
7,204.847,-24.376,-25.34242137665614
7,290.687,-23.241,-24.342421376656137
7,366.798,-16.224,-25.34241791909279
7,413.879,-6.614,-25.342399140261573
8,25.56,-11.647,-30.73784068221981
8,139.85,-22.885,-30.798979724326394
8,289.126,-28.701,-30.798989873223334
8,431.575,-30.252,-32.58376301653853
8,573.742,-26.355,-28.798989873324686
8,710.755,-18.885,-32.58376301653566
8,787.376,-7.0,-32.5837630162357
